APP	app
PACS	pacs
JavE	jave
PostgreSQL	postgresql
PBFT算法	pbft
Jquery	jquery
SQLite	sqlite
MyBatis	mybatis
Kylin	kylin
Pascal	pascal
BSP	bsp
GMapping	gmapping
Cookie	cookie
POC	poc
深度学习	deeplearning=深度学习
GlusterFS	glusterfs
Dubbo	dubbo
Flume	flume
POI	poi
CorelDRAW	coreldraw
Spring	spring
Sybase	sybase
Zabbix	zabbix
AdWords	adwords
Logistic regression	logistic regression
Presto	presto
DeepMind	deepmind
RSS	rss
建模分析	建模分析
Stateflow	stateflow
Struts	struts
Linux C	linux c
CVR	cvr
大数据	大数据
Bluetooth	bluetooth
Qt	qt
SVG	svg
NLG	nlg
RTK	rtk
SegNet	segnet
Halcon	halcon
SVN	svn
SIMD	simd
Random Forest随机森林	随机森林=randomforest
NLP	nlp
NLU	nlu
ConvNet	convnet
ASM	asm
DDoS	ddos
Paxos算法	paxos
ASP	asp
Ajax	ajax
LibSvm	libsvm
ASR	asr
Kalman	kalman
Java	java
LSTM	lstm
Power BI	powerbi
COBOL	cobol
SQL Server	sql-sever=sqlserver=sqlsever=sql sever=mssql=sql server
ActiveMQ	activemq
ARIMA	arima
SciKit-Learn	sk-learn=scikit-learn=sklearn
Apache Kafka	kafka=kafaka
Jupyter	jupyter
Spark	spark
Apache Ambari	ambari
Axure	axure
VMware	vmware
PRD	prd
Scheme	scheme
HiveSql	hive sql
LNMP	lnmp
RSA算法	rsa
Web service	webservice=web service
目标检测	目标检测
ReID	reid
Dreamweaver	dreamweaver
GBDT	gbdt
Simulink	simulink
Lucene	lucene
TensorRT	tensorrt
MapReduce	mapreduce
IDL	idl
VHDL	vhdl
机器学习	机器学习=machine learning
.NET	.net
Gabor	gabor
Learning to Rank算法	learningtorank
Canvas	canvas
Attention	attention
优化算法	优化算法
Boosting	boosting
TalkingData	talkingdata
语音识别	语音识别
HCI	hci
CSS3	css3
ECharts	echarts
Theano	theano
Apache Pig	pig
GAN	gan
PLSQL	plsql
ODPS	odps
VR	vr
Stanford NLP	stanfordnlp
VisionPro	visionpro
Microsoft Power BI	power bi
SpringMVC	springmvc
BASH	bash
ORM	orm
eCos	e-cos=ecos
Laravel	laravel
NewSQL	newsql
GMM-HMM	hmmgmm=hmm gmm=hmm-gmm
Shell	shell
AWK	awk
JavaScript	js=javascript
WebMagic	webmagic
JDBC	jdbc
Bootstrap	bootstrap
Scrum	scrum
AIOps	aiops
AWS	aws
PaddlePaddle	paddlepaddle=paddle
ABTest	abtest
HDFS	hdfs
OLAP	olap
Logistic	logistic
Jboss	jboss
VAD	vad
AlexNet	alexnet
VAE	cae
Encoder-Decoder	encoder-decoder
Jetty	jetty
OTA	ota
LabVIEW	labview
ImageNet	imagenet
MQTT	mqtt
Nginx	nginx
GDB	gdb
CMake	cmake
FPGA	fpga
Eclipse	eclipse
MPI	mpi
MPP	mpp
JavaWeb	java web
MATLAB	matlab
ExtJS	extjs
GPGPU	gpgpu
Druid	druid
VBA	vba
Fast R-CNN	fast-rcnn
Coding	coding
WebSphere	websphere
MaxCompute	maxcompute
DAPP	dapp
SciPy	scipy
Perl	perl
Logstash	logstash
Spring Cloud	springcloud=spring cloud
HBase	hbase
YOLO	yolov
FCN	fcn
Idea	idea
Python NLTK	nltk
KNN	knn
Yarn	yarn
Objective-C	objective-c=oc=obj-c=objc
Servlet	servlet
Spark ML	spark-ml
GitLab	gitlab
云计算	云计算
RDMA	rdma
Pattern	pattern
Decision Tree	decisiontree=decision tree=decision-tree
PowerDesigner	powerdesigner
IaaS	iaas
SparkSQL	sparksql=spark sql
LDPC算法	ldpc
AI lab	ai lab
JMP	jmp
RocketMQ	rocketmq
Pipeline	pipeline
人脸检测	人脸检测
WebLogic	weblogic
ZooKeeper	zookeeper
GraphX	graphx
PredictionIO	predictionio
Model	model
Apache JMeter	jmeter
Seaborn	seaborn
Webpack	webpack
